Config	ResRisk	AssetValue	AuthPenalty	PRiskPImpersAttack	PRiskReplayAttack	PRiskSessionAttack	TotalRisk	op_AccessPatientProfile	op_OrderLabTest	op_AdjustCarePlan	op_ApproveDischargeSummary	op_RequestConsultation	op_CommunicateWithPatient	op_ViewRadiologyImages	op_ManageAppointment	op_PrintMedicalReport	asset_Diagnosis	asset_TreatmentPlan	asset_LabResults	asset_TestReports	asset_PatientHistory	asset_PatientInteractions	asset_VisitSummaries	asset_ReferralNotes	asset_EncounterNotes	asset_PatientRecords	asset_PatientDemographics	asset_RadiologyImages	asset_DischargeSummaries	asset_PatientCommunications	Diagnosis_Read	Diagnosis_Write	Diagnosis_Update	Diagnosis_Delete	Diagnosis_CRUD	TreatmentPlan_Read	TreatmentPlan_Write	TreatmentPlan_Update	TreatmentPlan_Delete	TreatmentPlan_CRUD	LabResults_Read	LabResults_Write	LabResults_Update	LabResults_Delete	LabResults_CRUD	TestReports_Read	TestReports_Write	TestReports_Update	TestReports_Delete	TestReports_CRUD	PatientHistory_Read	PatientHistory_Write	PatientHistory_Update	PatientHistory_Delete	PatientHistory_CRUD	PatientInteractions_Read	PatientInteractions_Write	PatientInteractions_Update	PatientInteractions_Delete	PatientInteractions_CRUD	VisitSummaries_Read	VisitSummaries_Write	VisitSummaries_Update	VisitSummaries_Delete	VisitSummaries_CRUD	ReferralNotes_Read	ReferralNotes_Write	ReferralNotes_Update	ReferralNotes_Delete	ReferralNotes_CRUD	EncounterNotes_Read	EncounterNotes_Write	EncounterNotes_Update	EncounterNotes_Delete	EncounterNotes_CRUD	PatientRecords_Read	PatientRecords_Write	PatientRecords_Update	PatientRecords_Delete	PatientRecords_CRUD	PatientDemographics_Read	PatientDemographics_Write	PatientDemographics_Update	PatientDemographics_Delete	PatientDemographics_CRUD	RadiologyImages_Read	RadiologyImages_Write	RadiologyImages_Update	RadiologyImages_Delete	RadiologyImages_CRUD	DischargeSummaries_Read	DischargeSummaries_Write	DischargeSummaries_Update	DischargeSummaries_Delete	DischargeSummaries_CRUD	PatientCommunications_Read	PatientCommunications_Write	PatientCommunications_Update	PatientCommunications_Delete	PatientCommunications_CRUD
1	0.2819	0.7048	0.0866	0.2819	0.2819	0.0000	0.4934	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	0	RWU-	1	0	0	0	R---	1	1	1	1	RWUD	1	1	1	0	RWU-	1	1	0	0	RW--	1	1	1	0	RWU-	1	1	1	0	RWU-	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	0	0	RW--
2	0.2705	0.6763	0.0545	0.2705	0.2705	0.0000	0.4734	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	1	RWUD	0	0	0	0	----	1	1	1	0	RWU-	1	1	1	1	RWUD
3	0.2651	0.6627	0.1326	0.2651	0.2651	0.0000	0.4639	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	RWU-	1	1	1	0	RWU-	1	1	1	0	RWU-	1	0	0	0	R---	1	1	1	1	RWUD	1	0	0	0	R---	1	0	0	0	R---	1	1	0	0	RW--	1	1	0	0	RW--	1	0	0	0	R---	1	0	0	0	R---	1	1	0	0	RW--	1	1	1	0	RWU-	1	1	0	0	RW--
4	0.2423	0.6057	0.2710	0.2423	0.2423	0.0000	0.4240	1	1	1	1	0	1	0	0	0	1	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	0	0	RW--	1	1	1	1	RWUD	1	0	0	0	R---	1	1	1	0	RWU-	0	0	0	0	----	0	0	0	0	----	1	1	1	1	RWUD	1	1	1	1	RWUD	0	0	0	0	----	1	1	1	0	RWU-	1	1	0	0	RW--
5	0.2395	0.5987	0.2619	0.2395	0.2395	0.0000	0.4191	1	1	1	1	1	0	0	0	0	1	1	1	1	1	0	1	1	1	1	1	0	1	0	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	0	RWU-	1	1	1	1	RWUD	0	0	0	0	----	1	0	0	0	R---	1	1	1	0	RWU-	1	1	0	0	RW--	1	1	1	1	RWUD	1	1	1	1	RWUD	0	0	0	0	----	1	1	1	1	RWUD	0	0	0	0	----
6	0.2178	0.5446	0.3499	0.2178	0.2178	0.0000	0.3812	1	1	1	1	0	0	0	0	0	1	1	1	1	1	0	1	0	0	1	1	0	1	0	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	0	0	RW--	1	1	1	0	RWU-	1	1	1	1	RWUD	0	0	0	0	----	1	1	1	1	RWUD	0	0	0	0	----	0	0	0	0	----	1	1	1	0	RWU-	1	1	1	0	RWU-	0	0	0	0	----	1	1	1	0	RWU-	0	0	0	0	----
7	0.2178	0.5444	0.2891	0.2178	0.2178	0.0000	0.3811	1	1	1	1	0	1	0	0	0	1	1	1	1	1	1	1	0	0	1	1	0	1	1	1	0	0	0	R---	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	1	RWUD	1	0	0	0	R---	1	0	0	0	R---	1	0	0	0	R---	0	0	0	0	----	0	0	0	0	----	1	1	1	1	RWUD	1	0	0	0	R---	0	0	0	0	----	1	1	1	0	RWU-	1	1	1	1	RWUD
8	0.2037	0.5093	0.3190	0.2037	0.2037	0.0000	0.3565	1	1	1	0	1	1	0	0	0	1	1	1	1	1	1	0	1	1	1	1	0	0	1	1	0	0	0	R---	1	1	1	1	RWUD	1	1	0	0	RW--	1	0	0	0	R---	1	0	0	0	R---	1	0	0	0	R---	0	0	0	0	----	1	1	0	0	RW--	1	1	0	0	RW--	1	0	0	0	R---	1	0	0	0	R---	0	0	0	0	----	0	0	0	0	----	1	1	0	0	RW--
9	0.1936	0.4839	0.3586	0.1936	0.1936	0.0000	0.3387	1	1	1	0	1	0	0	0	0	1	1	1	1	1	0	0	1	1	1	1	0	0	0	1	1	1	1	RWUD	1	1	1	0	RWU-	1	1	0	0	RW--	1	1	1	1	RWUD	1	0	0	0	R---	0	0	0	0	----	0	0	0	0	----	1	1	1	0	RWU-	1	1	0	0	RW--	1	1	1	1	RWUD	1	1	1	0	RWU-	0	0	0	0	----	0	0	0	0	----	0	0	0	0	----
10	0.1758	0.4395	0.4190	0.1758	0.1758	0.0000	0.3076	1	1	1	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	1	1	0	0	0	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	1	RWUD	1	1	1	1	RWUD	0	0	0	0	----	0	0	0	0	----	0	0	0	0	----	0	0	0	0	----	1	1	1	1	RWUD	1	1	1	1	RWUD	0	0	0	0	----	0	0	0	0	----	0	0	0	0	----
11	0.1602	0.4006	0.4743	0.1602	0.1602	0.0000	0.2804	1	1	1	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	1	1	0	0	0	1	0	0	0	R---	1	1	1	0	RWU-	1	1	0	0	RW--	1	0	0	0	R---	1	0	0	0	R---	0	0	0	0	----	0	0	0	0	----	0	0	0	0	----	0	0	0	0	----	1	0	0	0	R---	1	0	0	0	R---	0	0	0	0	----	0	0	0	0	----	0	0	0	0	----
12	0.1518	0.3795	0.4673	0.1518	0.1518	0.0000	0.2656	1	1	1	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	1	1	0	0	0	1	0	0	0	R---	1	1	1	0	RWU-	1	1	0	0	RW--	1	0	0	0	R---	1	0	0	0	R---	0	0	0	0	----	0	0	0	0	----	0	0	0	0	----	0	0	0	0	----	1	1	0	0	RW--	1	0	0	0	R---	0	0	0	0	----	0	0	0	0	----	0	0	0	0	----
